"id","diver1_videoer","diver2","date","site","latitude","longitude","stratum","site_selection","visibility_ft","time","tidal_ht_ft","transect","transect_id","distance_m","swath_m","heading","depth_start_ft","depth_end_ft","depth_ft","depth_m","kelp_video","benthic_video","comment1","comment2","transect_id_pasted","swath_area_kelp","macro_individuals","macro_stipes","macro_recruits (<1m)","nereocystis_lue","swath_area_star","swath_area_patiria","patiria_min","dermasterias_imb","henricia_spp","mediaster_aeq","pycnopodia_hel","pisaster_gig","pisaster_spp","pisaster_bre","orthasterias_koe","leptasterias_hex","notes","KelpStatus","Region"
13,"Elahi","Schnurle","2022-03-01","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.45902777777777776",4.7,"4.0","hms100_2022-03-01_t4",10,"2.0",270,29,"28.0",23.8,7.25388601,"hms100_2022-03-01_t4_k","hms100_2022-03-01_t4_b",NA,"kelp video was PARA0007; benthic video was GX010428","hms100_2022-03-01_t4","20",6,"44.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
14,"Elahi","Schnurle","2022-03-02","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.38333333333333336",5.8,"1.0","hms100_2022-03-02_t1",10,"2.0",0,31,"30.0",24.7,7.528192624,"hms100_2022-03-02_t1_k","hms100_2022-03-02_t1_b",NA,"kelp video was PARA0004; benthic video was GX010429","hms100_2022-03-02_t1","20",6,"218.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
15,"Elahi","Andrzejaczek","2022-03-08","davi93",36.617161,-121.897,"davi","random",30,"0.4375",1.2,"1.0","davi93_2022-03-08_t1",30,"1.0",300,35,"37.0",34.8,10.6065224,"davi93_2022-03-08_t1_k","davi93_2022-03-08_t1_b","was ID93","kelp video was GX010435; benthic video was GX010436","davi93_2022-03-08_t1","30",11,"128.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
16,"Elahi","Andrzejaczek","2022-03-08","davi93",36.617161,-121.897,"davi","random",30,"0.4375",1.2,"2.0","davi93_2022-03-08_t2",30,"1.0",300,27,"30.0",27.3,8.320633953,"davi93_2022-03-08_t2_k","davi93_2022-03-08_t2_b","was ID93","kelp video was GX010438; benthic video was GX010439","davi93_2022-03-08_t2","30",4,"134.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
17,"Elahi","Andrzejaczek","2022-03-08","love62",36.628723,-121.915289,"love","random",30,"0.3819444444444444",1.8,"1.0","love62_2022-03-08_t1",30,"1.0",90,41,"49.0",43.2,13.16671746,"love62_2022-03-08_t1_k","love62_2022-03-08_t1_b","was ID62","kelp video was GX010430; benthic video was GX010431","love62_2022-03-08_t1","30",0,"0.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Absent","Lovers Point"
18,"Elahi","Andrzejaczek","2022-03-08","love62",36.628723,-121.915289,"love","random",30,"0.3819444444444444",1.8,"2.0","love62_2022-03-08_t2",30,"1.0",90,31,"38.0",32.7,9.966473636,"love62_2022-03-08_t2_k","love62_2022-03-08_t2_b","was ID62","kelp video was GX010433; benthic video was GX010434","love62_2022-03-08_t2","30",0,"0.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Absent","Lovers Point"
19,"Donald","Taradash","2022-07-06","canner",36.620431,-121.8996,"davi","haphazard",10,"0.4041666666666667",2.4,"1.0","canner_2022-07-06_t1",30,"2.0",120,14,"5.0",7.1,2.163974398,"canner_2022-07-06_t1_k","canner_2022-07-06_t1_b","first class survey; note that there is a 2nd benthic video but not clear how the two videos relate",NA,"canner_2022-07-06_t1","60",7,"80.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
20,"Persad","Hodder","2022-07-06","canner",36.620431,-121.8996,"davi","haphazard",10,"0.46875",1.8,"2.0","canner_2022-07-06_t2",30,"2.0",120,16,"17.0",14.7,4.480341359,"canner_2022-07-06_t2_k","canner_2022-07-06_t2_b","first class survey",NA,"canner_2022-07-06_t2","60",17,"217.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
21,"Persad","Hodder","2022-07-06","hms100",36.621142,-121.901658,"cabr","targeted",8,"0.38125",2.4,"1.0","hms100_2022-07-06_t1",30,"2.0",0,23,"26.0",22.1,6.735751295,"hms100_2022-07-06_t1_k","hms100_2022-07-06_t1_b","first class survey",NA,"hms100_2022-07-06_t1","60",27,"354.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
22,"Taradash","Donald","2022-07-06","hms100",36.621142,-121.901658,"cabr","targeted",10,"0.4791666666666667",1.8,"2.0","hms100_2022-07-06_t2",30,"2.0",140,15,"20.0",15.7,4.785126486,"hms100_2022-07-06_t2_k","hms100_2022-07-06_t2_b","first class survey",NA,"hms100_2022-07-06_t2","60",7,"211.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
23,"Donald","Hodder","2022-07-07","canner",36.620431,-121.8996,"davi","haphazard",12,"0.375",1.4,"1.0","canner_2022-07-07_t1",15,"2.0",120,23,"20.0",20.1,6.126181042,"canner_2022-07-07_t1_k","canner_2022-07-07_t1_b",NA,NA,"canner_2022-07-07_t1","30",30,"392.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
24,"Hodder","Donald","2022-07-07","canner",36.620431,-121.8996,"davi","haphazard",12,"0.3888888888888889",1.3,"2.0","canner_2022-07-07_t2",15,"2.0",120,20,"25.0",21.2,6.461444681,"canner_2022-07-07_t2_k","canner_2022-07-07_t2_b",NA,NA,"canner_2022-07-07_t2","30",10,"58.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","NA","NA","NA","NA",NA,"Kelp Present","David Avenue"
25,"Taradash","Persad","2022-07-07","hms100",36.621142,-121.901658,"cabr","targeted",15,"0.38958333333333334",1.6,"1.0","hms100_2022-07-07_t1",15,"2.0",90,25,"28.0",24.9,7.589149649,"hms100_2022-07-07_t1_k","hms100_2022-07-07_t1_b",NA,NA,"hms100_2022-07-07_t1","30",5,"146.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
26,"Persad","Taradash","2022-07-07","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.4048611111111111",1.5,"2.0","hms100_2022-07-07_t2",15,"2.0",270,19,"21.0",18.5,5.63852484,"hms100_2022-07-07_t2_k","hms100_2022-07-07_t2_b",NA,NA,"hms100_2022-07-07_t2","30",10,"66.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
27,"Taradash","Donald","2022-07-11","luca39",36.638144,-121.922294,"luca","random",30,"0.4083333333333333",3.7,"1.0","luca39_2022-07-11_t1",30,"2.0",60,53,"61.0",53.3,16.24504724,"luca39_2022-07-11_t1_k","luca39_2022-07-11_t1_b",NA,NA,"luca39_2022-07-11_t1","60",0,"0.0","NA","0.0","60.0","30.0","38.0","0.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Lucas Point"
28,"Persad","Hodder","2022-07-11","luca51",36.635979,-121.922122,"luca","random",30,"0.4097222222222222",3.5,"1.0","luca51_2022-07-11_t1",30,"2.0",300,43,"43.0",39.5,12.0390125,"luca51_2022-07-11_t1_k","luca51_2022-07-11_t1_b",NA,NA,"luca51_2022-07-11_t1","60",0,"0.0","NA","0.0","60.0","60.0","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Lucas Point"
29,"Donald","Taradash","2022-07-11","mont69",36.625216,-121.910328,"mont","random",25,"0.4625",3.4,"1.0","mont69_2022-07-11_t1",30,"2.0",300,45,"46.0",42.1,12.83145383,"mont69_2022-07-11_t1_k","mont69_2022-07-11_t1_b",NA,NA,"mont69_2022-07-11_t1","60",0,"0.0","NA","0.0","60.0","60.0","27.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Monterey Avenue"
30,"Hodder","Persad","2022-07-11","mont71",36.62495,-121.912748,"mont","random",25,"0.46458333333333335",3.5,"1.0","mont71_2022-07-11_t1",30,"2.0",300,27,"32.0",26,7.924413289,"mont71_2022-07-11_t1_k","mont71_2022-07-11_t1_b",NA,NA,"mont71_2022-07-11_t1","60",0,"0.0","NA","0.0","60.0","60.0","40.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Monterey Avenue"
31,"Taradash","Persad","2022-07-12","char94",36.61596,-121.8968,"char","random",25,"0.4527777777777778",3.7,"1.0","char94_2022-07-12_t1",30,"2.0",180,29,"31.0",26.3,8.015848827,"char94_2022-07-12_t1_k","char94_2022-07-12_t1_b",NA,NA,"char94_2022-07-12_t1","60",22,"296.0","NA","0.0","60.0","NA","NA","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","Chart House"
32,"Donald","Hodder","2022-07-12","char95",36.61537,-121.89631,"char","random",20,"0.4534722222222222",3.7,"1.0","char95_2022-07-12_t1",30,"2.0",240,29,"27.0",24.3,7.406278574,"char95_2022-07-12_t1_k","char95_2022-07-12_t1_b","The first heading did not stay on rocky substratum. Filmed kelp video along first heading. Adjusted transect tape after kelp video to follow rocky substratum. Benthic video filmed on adjusted transect on rocky subtratum.",NA,"char95_2022-07-12_t1","60",4,"78.0","NA","0.0","60.0","60.0","37.0","3.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","Chart House"
33,"Hodder","Donald","2022-07-12","davi89",36.61906,-121.8992,"davi","random",25,"0.3854166666666667",3.5,"1.0","davi89_2022-07-12_t1",30,"2.0",180,23,"27.0",21.5,6.552880219,"davi89_2022-07-12_t1_k","davi89_2022-07-12_t1_b",NA,NA,"davi89_2022-07-12_t1","60",11,"347.0","NA","0.0","60.0","60.0","16.0","1.0","2.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","David Avenue"
34,"Persad","Taradash","2022-07-12","davi90",36.61821,-121.89799,"davi","random",30,"0.39861111111111114",3.1,"1.0","davi90_2022-07-12_t1",30,"2.0",180,20,"23.0",18.4,5.608046327,"davi90_2022-07-12_t1_k","davi90_2022-07-12_t1_b","Note that the kelp transect is split into two videos; at 1:24 in the first video the diver is at the same point on transect as at 0:12 in the second video (~10.3m on the transect)","kelp counts were for 60m2; star counts are for one side only (30m2)","davi90_2022-07-12_t1","60",38,"586.0","NA","0.0","30.0","30.0","15.0","3.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","David Avenue"
35,"Schnurle","Donald","2022-07-18","hms070",36.620983,-121.901733,"cabr","random",20,"11:11",1.1,"1.0","hms070_2022-07-18_t1",30,"2.0",300,25,"25.0",23.9,7.284364523,"hms070_2022-07-18_t1_k","hms070_2022-07-18_t1_b","lat-long from 80m was used",NA,"hms070_2022-07-18_t1","60",7,"129.0","NA","0.0","60.0","60.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","Cabrillo Point"
36,"Taradash","Hodder","2022-07-18","hms100",36.621142,-121.901658,"cabr","random",15,"0.46597222222222223",1.1,"1.0","hms100_2022-07-18_t1",30,"2.0",300,23,"25.0",22.9,6.979579397,"hms100_2022-07-18_t1_k","hms100_2022-07-18_t1_b",NA,NA,"hms100_2022-07-18_t1","60",8,"187.0","NA","0.0","60.0","60.0","9.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0",NA,"Kelp Present","Cabrillo Point"
37,"Elahi","Schnurle","2022-07-18","ottrpt",36.63454,-121.92063,"ottr","targeted",15,"0.39652777777777776",0,"1.0","ottrpt_2022-07-18_t1",30,"2.0",300,33,"32.0",32.5,9.905516611,"ottrpt_2022-07-18_t1_k","ottrpt_2022-07-18_t1_b",NA,NA,"ottrpt_2022-07-18_t1","60",0,"0.0","NA","0.0","60.0","60.0","50.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Otter Point"
38,"Donald","Persad","2022-07-18","ottrpt",36.63454,-121.92063,"ottr","targeted",15,"0.39652777777777776",0,"2.0","ottrpt_2022-07-18_t2",30,"2.0",300,25,"NA",25,7.619628162,"ottrpt_2022-07-18_t2_k","ottrpt_2022-07-18_t2_b",NA,NA,"ottrpt_2022-07-18_t2","60",0,"0.0","NA","0.0","60.0","60.0","49.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0",NA,"Kelp Absent","Otter Point"
39,"Hodder","Taradash","2022-07-18","ottrpt",36.63454,-121.92063,"ottr","targeted",15,"0.39652777777777776",0,"3.0","ottrpt_2022-07-18_t3",30,"2.0",300,31,"28.0",29.5,8.991161231,"ottrpt_2022-07-18_t3_k","ottrpt_2022-07-18_t3_b",NA,NA,"ottrpt_2022-07-18_t3","60",0,"0.0","NA","0.0","60.0","60.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"Kelp Absent","Otter Point"
40,"Wallace","Hodder","2023-07-11","hms_prot_edge1",36.6221,-121.90201,"cabr","targeted",25,"0.5131944444444444",1.8,"1.0","hms_prot_edge1_2023-07-11_t1",30,"NA",120,28,"31.0",27.7,8.442548004,"hms_prot_edge1_2023-07-11_t1_k","hms_prot_edge1_2023-07-11_t1_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge1_2023-07-11_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
41,"Wallace","Hodder","2023-07-11","hms_prot_edge1",36.6221,-121.90201,"cabr","targeted",25,"0.5131944444444444",1.8,"2.0","hms_prot_edge1_2023-07-11_t2",30,"NA",300,28,"25.0",24.7,7.528192624,"hms_prot_edge1_2023-07-11_t2_k","hms_prot_edge1_2023-07-11_t2_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge1_2023-07-11_t2","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
42,"Mattioli","Walters","2023-07-11","hms_prot_edge2",36.6221,-121.90201,"cabr","targeted",25,"0.5118055555555555",1.8,"1.0","hms_prot_edge2_2023-07-11_t1",30,"NA",120,31,"28.0",27.7,8.442548004,"hms_prot_edge2_2023-07-11_t1_k","hms_prot_edge2_2023-07-11_t1_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge2_2023-07-11_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
43,"Walters","Mattioli","2023-07-11","hms_prot_edge2",36.6221,-121.90201,"cabr","targeted",25,"0.5118055555555555",1.8,"2.0","hms_prot_edge2_2023-07-11_t2",30,"NA",300,31,"26.0",26.7,8.137762877,"hms_prot_edge2_2023-07-11_t2_k","hms_prot_edge2_2023-07-11_t2_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge2_2023-07-11_t2","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
44,"McClintock","Duda","2023-07-11","hms_prot_edge3",36.6221,-121.90201,"cabr","targeted",25,"0.5111111111111111",1.8,"1.0","hms_prot_edge3_2023-07-11_t1",30,"NA",120,35,"34.0",32.7,9.966473636,"hms_prot_edge3_2023-07-11_t1_k","hms_prot_edge3_2023-07-11_t1_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge3_2023-07-11_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
45,"Duda","McClintock","2023-07-11","hms_prot_edge3",36.6221,-121.90201,"cabr","targeted",25,"0.5111111111111111",1.8,"2.0","hms_prot_edge3_2023-07-11_t2",30,"NA",300,35,"27.0",29.2,8.899725693,"hms_prot_edge3_2023-07-11_t2_k","hms_prot_edge3_2023-07-11_t2_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge3_2023-07-11_t2","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
46,"Anderson","Fairlie","2023-07-11","hms_prot_edge4",36.6221,-121.90201,"cabr","targeted",25,"0.5104166666666666",1.8,"1.0","hms_prot_edge4_2023-07-11_t1",30,"NA",120,32,"34.0",31.2,9.509295946,"hms_prot_edge4_2023-07-11_t1_k","hms_prot_edge4_2023-07-11_t1_b","_edge1 is closest to shore; _edge4 is farthest from shore","t1 goes into kelp (120); t2 goes into barrens (300)","hms_prot_edge4_2023-07-11_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
47,"Anderson","McClintock","2023-07-12","macabee2023_1",36.61842,-121.89776,"davi","haphazard",15,"0.3958333333333333",3,"1.0","macabee2023_1_2023-07-12_t1",30,"NA",120,35,"33.0",31,9.448338921,"macabee2023_1_2023-07-12_t1_k","macabee2023_1_2023-07-12_t1_b",NA,NA,"macabee2023_1_2023-07-12_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","David Avenue"
48,"Elkaslasy","Duda","2023-07-12","macabee2023_1",36.61842,-121.89776,"davi","haphazard",10,"0.3993055555555556",3,"2.0","macabee2023_1_2023-07-12_t2",30,"2.0",110,36,"35.0",32.5,9.905516611,"macabee2023_1_2023-07-12_t2_k","macabee2023_1_2023-07-12_t2_b",NA,NA,"macabee2023_1_2023-07-12_t1","NA",NA,"NA","NA","NA","60.0","NA","NA","3.0","4.0","NA","NA","2.0","NA","NA","NA","NA",NA,"TBD","David Avenue"
49,"Mattioli","Wallace","2023-07-12","macabee2023_2",36.61819,-121.89643,"davi","haphazard",10,"0.39861111111111114",3,"1.0","macabee2023_2_2023-07-12_t1",30,"2.0",225,46,"49.0",44.5,13.56293813,"macabee2023_2_2023-07-12_t1_k","macabee2023_2_2023-07-12_t1_b",NA,NA,"macabee2023_2_2023-07-12_t1","NA",NA,"NA","NA","NA","NA","NA","NA","6.0","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","David Avenue"
50,"Fairlie","Walters","2023-07-12","macabee2023_2",36.61819,-121.89643,"davi","haphazard",7,"0.39861111111111114",3,"2.0","macabee2023_2_2023-07-12_t2",30,"2.0",225,51,"59.0",52,15.84882658,"macabee2023_2_2023-07-12_t2_k","macabee2023_2_2023-07-12_t2_b",NA,NA,"macabee2023_2_2023-07-12_t1","NA",NA,"NA","NA","NA","60.0","NA","NA","NA","NA","NA","NA","4.0","NA","NA","NA","NA",NA,"TBD","David Avenue"
51,"McClintock","Walters","2023-07-14","hms100",36.621142,-121.901658,"cabr","targeted",8,"0.3611111111111111",3,"1.0","hms100_2023-07-14_t1",30,"NA",300,25,"22.0",20.5,6.248095093,"hms100_2023-07-14_t1_k","hms100_2023-07-14_t1_b",NA,NA,"hms100_2023-07-12_t1","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
52,"McClintock","Walters","2023-07-14","hms100",36.621142,-121.901658,"cabr","targeted",8,"0.3611111111111111",3,"2.0","hms100_2023-07-14_t2",30,"NA",120,25,"34.0",26.5,8.076805852,"hms100_2023-07-14_t2_k","hms100_2023-07-14_t2_b",NA,NA,"hms100_2023-07-12_t2","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"TBD","Cabrillo Point"
53,"Fairlie","Duda","2023-07-14","hms150",36.621717,-121.901817,"cabr","targeted",6,"0.3611111111111111",3,"1.0","hms150_2023-07-14_t1",30,"2.0",300,31,"30.0",27.5,8.381590978,"hms150_2023-07-14_t1_k","hms150_2023-07-14_t1_b",NA,NA,"hms150_2023-07-14_t1","NA",NA,"NA","NA","NA","60.0","60.0","12.0","1.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0",NA,"TBD","Cabrillo Point"
